,0
241,65637.65
242,65948.42
243,66523.08
244,67009.08
245,67177.27
246,66903.33
247,66586.55
248,64893.207
249,63803.727
250,64261.77
251,65024.54
252,65105.53
253,64496.156
254,63375.77
255,62659.49
256,62331.758
257,62384.457
258,63123.53
259,63954.438
260,64505.79
261,64133.46
262,63087.65
263,61910.117
264,60616.727
265,58832.53
266,56984.78
267,55283.914
268,54146.492
269,53863.926
270,54504.52
271,56015.188
272,58016.22
273,60559.062
274,62044.176
275,61027.98
276,58483.79
277,56641.543
278,56695.27
279,58229.945
280,59730.99
281,61265.574
282,62862.418
283,64068.23
284,64499.176
285,63863.05
286,62633.426
287,61361.582
288,59882.508
289,57478.93
290,55144.625
291,53588.793
292,52956.97
293,53098.438
294,54092.727
295,55815.82
296,57769.164
297,59818.094
298,60637.895
299,58803.863
300,56391.95
301,55481.676
302,56551.555
303,58052.22
304,59941.414
305,62184.07
306,63567.95
307,64304.023
308,64483.26
309,63822.45
310,62610.836
311,61251.562
312,59554.97
313,57134.49
314,54761.27
315,53286.4
316,52685.03
317,52706.727
318,53342.48
319,54575.05
320,56183.832
321,57980.336
322,59288.35
323,58691.945
324,57057.594
325,56180.426
326,57232.5
327,59267.125
328,61558.02
329,63403.914
330,64726.062
331,65279.855
332,65062.68
333,64122.23
334,62722.21
335,61206.625
336,59234.293
337,55872.02
338,53545.383
339,52087.984
340,51722.887
341,51632.32
342,51906.395
343,52238.9
344,52649.78
345,53534.99
346,54597.8
347,55452.18
348,55904.375
349,55707.43
350,55556.668
351,55908.562
352,56776.57
353,57277.227
354,57172.414
355,56959.086
356,56715.73
357,56143.332
358,54966.742
359,52854.85
360,49993.508
361,49187.203
362,48663.746
363,48646.758
364,49023.96
365,49718.86
366,50682.387
367,51646.332
368,52394.33
369,52240.39
370,51685.24
371,51129.043
372,50674.94
373,50550.863
374,51040.83
375,51992.395
376,53175.445
377,54230.227
378,54964.832
379,55344.28
380,55332.906
381,54974.395
382,54289.8
383,53358.78
384,52235.46
385,49523.406
386,47926.91
387,47139.754
388,46914.46
389,47633.88
390,49342.613
391,52411.7
392,56407.875
393,60530.836
394,62304.85
395,61639.344
396,60174.406
397,59348.645
398,59516.73
399,60759.76
400,62336.9
401,63836.977
402,65011.938
403,65650.7
404,65655.47
405,65092.332
406,63850.906
407,62263.992
408,60899.105
409,58882.477
410,56407.01
411,54294.207
412,53052.844
413,52591.625
414,52818.555
415,53850.418
416,55638.637
417,57864.727
418,60017.773
419,60361.633
420,59554.5
421,58841.625
422,59152.04
423,60647.957
424,62737.625
425,64745.7
426,65640.85
427,65596.58
428,64935.72
429,63786.324
430,62194.883
431,60532.574
432,58020.875
433,55337.21
434,53434.26
435,52592.52
436,52485.95
437,53276.074
438,55154.93
439,57776.324
440,61663.117
441,64788.824
442,65673.92
443,64804.832
444,63035.57
445,61477.094
446,60908.02
447,61388.863
448,62388.938
449,63586.387
450,64703.76
451,65094.562
452,64950.773
453,64228.04
454,63125.875
455,61980.055
456,60696.29
457,58790.95
458,56653.562
459,54763.125
460,53764.168
461,53855.195
462,55008.707
463,56843.05
464,59003.688
465,61583.35
466,63254.98
467,63886.137
468,63423.812
469,61775.836
470,60265.926
471,59833.742
472,60320.5
473,61097.26
474,62380.445
475,64057.074
476,65333.43
477,65300.95
478,64053.727
479,62577.617
480,61359.668
481,60023.53
482,57915.492
483,55665.68
484,53902.883
485,53025.4
486,53063.105
487,54108.79
488,55970.45
489,58149.812
490,60281.24
491,60353.086
492,58560.49
493,56803.82
494,57096.336
495,58911.895
496,61208.637
497,63050.863
498,64445.824
499,65354.363
500,65455.707
501,64627.707
502,63102.008
503,61564.207
504,59936.094
505,56794.18
506,54244.93
507,52629.055
508,52289.133
509,52162.71
510,52307.54
511,52577.656
512,52522.656
513,51878.48
514,50792.633
515,49312.035
516,48137.773
517,47945.047
518,48482.05
519,49774.652
520,51461.285
521,53219.727
522,55053.867
523,56505.727
524,57419.613
525,57746.125
526,57266.938
527,56103.4
528,54330.562
529,52355.46
530,50346.24
531,49002.504
532,48466.984
533,48257.492
534,48120.934
535,47887.05
536,47141.176
537,45624.203
538,44127.24
539,43110.086
540,42667.46
541,42425.61
542,42923.227
543,44269.17
544,46245.594
545,48514.87
546,51357.164
547,54434.156
548,56801.867
549,57706.137
550,57513.8
551,56529.21
552,55031.844
553,51630.664
554,49131.05
555,47881.71
556,47636.547
557,48121.535
558,49632.81
559,51986.57
560,55276.805
561,59519.344
562,62100.062
563,62524.887
564,61624.742
565,61174.227
566,61980.176
567,63712.594
568,65382.555
569,66404.71
570,66860.586
571,66798.47
572,66386.3
573,65277.6
574,63488.96
575,61457.664
576,59330.926
577,56938.54
578,54877.637
579,53511.613
580,52985.93
581,53167.3
582,54294.992
583,56417.242
584,59533.3
585,62538.582
586,63428.855
587,62913.85
588,62007.71
589,61442.344
590,61600.367
591,62410.96
592,63505.543
593,64613.605
594,65468.28
595,65733.3
596,65207.457
597,63991.04
598,62311.03
599,60576.082
600,58135.664
601,55792.605
602,53888.844
603,52853.79
604,52618.613
605,53191.695
606,54655.062
607,56703.57
608,59387.438
609,61780.273
610,61983.32
611,60650.8
612,59336.07
613,58931.668
614,59576.625
615,61113.945
616,62606.656
617,63667.805
618,64370.137
619,64761.867
620,64661.242
621,63831.51
622,62461.18
623,60931.04
624,58989.113
625,56613.47
626,54511.637
627,53249.21
628,52672.15
629,52665.574
630,53351.176
631,54736.414
632,56615.508
633,58859.85
634,59826.168
635,58492.008
636,56933.43
637,56702.844
638,57892.668
639,59589.945
640,61624.4
641,63317.48
642,64396.07
643,64893.855
644,64820.8
645,63971.55
646,62613.77
647,61227.99
648,59362.24
649,56811.07
650,54577.633
651,53262.3
652,52690.73
653,52673.867
654,53327.29
655,54620.02
656,56265.49
657,58140.195
658,58733.15
659,57223.113
660,54844.176
661,54803.477
662,56715.625
663,58854.605
664,61128.926
665,63453.637
666,64849.562
667,65428.32
668,65414.805
669,64691.055
670,63233.582
671,61557.883
672,59716.945
673,56406.1
674,53923.258
675,52398.43
676,52209.93
677,52175.156
678,52370.25
679,52581.336
680,52334.23
681,51366.836
682,49873.72
683,48752.133
684,48399.684
685,48782.793
686,49937.07
687,51653.28
688,53597.586
689,55502.023
690,56997.977
691,57898.332
692,58463.426
693,58576.93
694,57847.73
695,56485.0
696,54655.094
697,52658.637
698,51226.15
699,50197.785
700,49742.367
701,50142.258
702,50740.824
703,51562.992
704,52833.02
705,54049.645
706,55440.637
707,56461.26
708,56781.867
709,56796.332
710,56683.77
711,56537.926
712,56484.418
713,56555.805
714,56760.863
715,56943.832
716,57205.7
717,57463.145
718,57450.176
719,57078.094
720,56810.426
721,55009.82
722,52383.67
723,49888.145
724,48911.26
725,49288.777
726,50123.707
727,51857.594
728,53899.023
729,55670.52
730,57434.367
731,58399.574
732,58910.164
733,59344.332
734,59818.395
735,60539.562
736,61376.47
737,62069.645
738,62460.18
739,62563.086
740,62360.605
741,62141.76
742,61549.324
743,59718.5
744,57891.324
745,55752.27
746,54456.023
747,53452.72
748,53565.49
749,54931.15
750,57149.812
751,60140.656
752,63369.273
753,65499.344
754,66392.97
755,66460.94
756,66078.6
757,65662.16
758,65449.51
759,65523.3
760,65631.61
761,65525.617
762,65168.305
763,64498.617
764,63596.01
765,62454.773
766,60830.926
767,59086.18
768,57792.918
769,56486.105
770,55366.543
771,54692.9
772,54554.156
773,54906.18
774,55590.918
775,56453.637
776,57216.395
777,57707.22
778,57716.887
779,57393.594
780,56982.75
781,57028.844
782,57768.867
783,59055.062
784,60683.97
785,62358.53
786,63638.457
787,64316.29
788,64281.938
789,63522.562
790,62252.113
791,60941.605
792,59021.95
793,56501.305
794,54446.242
795,53225.125
796,52719.68
797,52993.086
798,54074.926
799,55714.1
800,57511.414
801,59713.406
802,59699.086
803,57511.53
804,55347.094
805,55288.3
806,56931.926
807,58731.414
808,60809.71
809,62706.96
810,63795.48
811,64302.7
812,64293.117
813,63454.77
814,62213.137
815,60955.258
816,59004.57
817,56490.176
818,54344.28
819,53109.676
820,52668.805
821,52877.844
822,53871.293
823,55502.22
824,57312.95
825,59380.508
826,59699.24
827,57910.113
828,55664.85
829,55592.24
830,57433.35
831,59643.625
832,61981.082
833,63971.99
834,65035.406
835,65304.582
836,65033.78
837,64044.45
838,62577.78
839,61074.07
840,59073.477
841,55898.855
842,53696.2
843,52393.44
844,52163.49
845,52052.71
846,52140.957
847,52311.055
848,52313.953
849,52460.625
850,52697.117
851,52925.52
852,53362.98
853,54140.918
854,55267.9
855,56671.2
856,57961.074
857,58711.76
858,58992.633
859,58953.844
860,58520.24
861,57897.617
862,56991.023
863,55428.15
864,52819.27
865,51026.555
866,49729.72
867,48961.805
868,48480.086
869,48279.49
870,48452.01
871,48935.88
872,49449.992
873,49170.566
874,47443.746
875,45729.84
876,44780.37
877,44083.84
878,44172.902
879,44893.242
880,46385.99
881,48786.566
882,51913.6
883,54620.395
884,56078.977
885,56465.355
886,56024.72
887,55075.3
888,53709.426
889,50315.84
890,48285.836
891,47485.465
892,47146.523
893,47675.805
894,49085.914
895,51418.6
896,54504.137
897,57019.863
898,57368.344
899,56229.137
900,54604.95
901,54321.85
902,55963.5
903,57912.977
904,59640.32
905,61788.844
906,63332.02
907,64422.95
908,64896.28
909,64363.477
910,62843.49
911,61218.508
912,59074.477
913,56514.93
914,54330.53
915,53142.383
916,52676.207
917,52769.26
918,53513.688
919,54861.98
920,56639.043
921,58624.24
922,59017.438
923,57598.7
924,55636.426
925,55823.938
926,57634.51
927,59962.477
928,62246.188
929,64189.93
930,65121.414
931,65334.824
932,65028.78
933,64166.613
934,62721.113
935,61100.914
936,58978.832
937,55828.15
938,53667.906
939,52688.438
940,52434.867
941,52625.8
942,52914.438
943,53241.72
944,53203.617
945,52548.562
946,50823.08
947,49085.523
948,48512.88
949,49602.383
950,52097.133
951,55252.117
952,57826.137
953,59646.79
954,60441.47
955,60242.77
956,59409.918
957,58249.01
958,56796.977
959,54774.355
960,52774.05
961,51168.062
962,50337.79
963,49476.383
964,49387.82
965,50164.863
966,51839.527
967,54670.49
968,58370.133
969,61502.867
970,60730.832
971,58897.023
972,57265.18
973,56744.29
974,57598.867
975,59359.32
976,61148.105
977,62768.5
978,63947.324
979,64547.812
980,64506.53
981,63829.47
982,62661.875
983,61218.363
984,59173.605
985,56692.79
986,54592.633
987,53255.85
988,52672.7
989,52801.895
990,53736.613
991,55330.742
992,57237.03
993,59455.176
994,60274.363
995,58693.613
996,57341.633
997,57625.8
998,59409.168
999,61700.668
1000,63638.75
1001,65061.1
1002,65573.51
1003,65631.39
1004,65246.977
1005,64163.605
1006,62751.305
1007,61253.082
1008,59430.55
1009,56281.97
1010,54035.742
1011,52615.85
1012,52169.812
1013,51942.375
1014,52010.375
1015,52305.31
1016,52416.07
1017,52251.06
1018,51933.543
1019,51756.12
1020,51967.227
1021,52526.98
1022,53575.613
1023,54951.21
1024,56353.273
1025,57655.055
1026,58560.992
1027,59293.54
1028,59814.523
1029,59926.188
1030,58892.332
1031,57405.074
1032,55396.57
1033,53510.043
1034,51537.94
1035,49917.02
1036,49021.758
1037,48464.54
1038,48189.727
1039,48057.617
1040,47480.55
1041,46386.945
1042,45270.89
1043,44759.336
1044,44666.543
1045,45078.797
1046,46095.387
1047,47704.61
1048,50015.305
1049,52569.32
1050,55055.008
1051,57261.01
1052,59004.523
1053,59947.688
1054,58722.65
1055,57226.656
1056,55641.156
1057,52038.715
1058,49526.773
1059,48202.68
1060,47881.15
1061,48291.32
1062,49707.062
1063,52065.094
1064,55734.24
1065,59898.645
1066,61590.344
1067,61051.074
1068,60163.645
1069,60212.78
1070,61986.523
1071,64350.6
1072,65841.7
1073,66925.984
1074,67395.8
1075,67398.89
1076,66893.55
1077,65682.41
1078,63849.2
1079,61823.305
1080,59940.43
1081,57217.664
1082,54941.555
1083,53470.562
1084,52847.7
1085,52983.24
1086,53940.04
1087,55838.07
1088,58815.977
1089,62378.74
1090,63956.9
1091,63425.805
1092,62529.062
1093,62462.676
1094,63331.176
1095,64757.383
1096,66058.36
1097,67038.39
1098,67605.055
1099,68071.04
1100,67851.875
1101,66610.72
1102,64436.133
1103,62268.24
1104,60394.93
1105,57903.125
1106,55720.164
1107,54033.57
1108,53079.8
1109,52880.305
1110,53440.24
1111,54832.35
1112,57024.242
1113,60190.43
1114,62715.074
1115,62714.457
1116,61517.79
1117,61183.055
1118,62453.074
1119,64537.324
1120,66417.32
1121,67666.84
1122,68225.67
1123,68287.73
1124,67902.43
1125,66694.24
1126,64643.27
1127,62498.9
1128,60560.586
1129,58019.555
1130,55792.406
1131,54150.375
1132,53249.438
1133,53143.72
1134,53805.887
1135,55321.99
1136,57677.176
1137,60942.875
1138,63127.137
1139,62610.594
1140,61415.742
1141,61454.3
1142,63180.21
1143,65441.02
1144,67055.336
1145,68128.695
1146,68685.67
1147,68807.33
1148,68358.42
1149,67023.86
1150,64775.883
1151,62416.93
1152,60351.49
1153,57676.977
1154,55350.508
1155,53797.02
1156,53110.883
1157,53180.7
1158,54063.0
1159,55904.07
1160,58558.98
1161,61540.883
1162,62846.543
1163,62186.395
1164,61287.95
1165,61255.094
1166,62727.5
1167,65065.45
1168,66873.65
1169,67867.516
1170,68309.99
1171,68404.08
1172,67967.91
1173,66588.17
1174,64447.258
1175,62330.164
1176,60400.273
1177,56859.875
1178,54455.418
1179,52836.008
1180,52120.39
1181,51745.848
1182,51825.65
1183,52299.75
1184,53239.75
1185,54233.07
1186,54839.844
1187,55162.28
1188,55278.25
1189,55646.15
1190,56222.21
1191,56975.375
1192,57779.508
1193,58410.54
1194,58883.25
1195,59182.195
1196,59254.727
1197,58909.617
1198,58081.85
1199,56674.086
1200,54310.824
1201,52740.605
1202,51135.65
1203,49751.06
1204,48834.902
1205,48349.594
1206,48196.406
1207,48139.766
1208,47735.438
1209,47051.88
1210,46848.895
1211,46976.82
1212,47603.668
1213,48761.402
1214,50413.15
1215,52667.7
1216,55181.227
1217,57441.305
1218,58542.445
1219,58688.93
1220,58282.176
1221,57671.1
1222,56688.76
1223,55267.457
1224,53598.2
1225,50331.28
1226,48872.51
1227,47757.17
1228,47498.113
1229,48214.074
1230,50083.47
1231,53378.8
1232,57741.418
1233,61234.523
1234,61794.688
1235,60680.207
1236,59496.133
1237,59425.195
1238,60829.258
1239,62868.375
1240,64411.53
1241,65421.332
1242,65890.35
1243,65927.21
1244,65387.54
1245,64161.906
1246,62634.65
1247,60827.008
1248,58602.805
1249,56119.43
1250,54142.918
1251,53087.46
1252,52802.688
1253,53167.22
1254,54295.176
1255,56240.52
1256,58905.008
1257,61169.668
1258,61010.25
1259,59734.76
1260,58575.02
1261,59007.523
1262,61244.086
1263,63402.164
1264,65053.008
1265,66005.77
1266,66374.36
1267,66416.67
1268,66123.77
1269,65162.805
1270,63526.926
1271,61668.555
1272,59792.53
1273,57230.555
1274,54947.117
1275,53497.77
1276,52827.043
1277,52752.65
1278,53384.29
1279,54881.926
1280,57225.867
1281,59817.28
1282,60745.375
1283,60144.395
1284,59278.188
1285,59569.367
1286,61391.45
1287,63623.07
1288,65511.918
1289,66611.66
1290,67111.67
1291,67264.36
1292,66953.516
1293,65865.734
1294,64054.168
1295,62097.23
1296,60140.727
1297,57629.02
1298,55382.945
1299,53809.676
1300,53057.1
1301,52961.406
1302,53627.312
1303,55252.1
1304,57770.45
1305,60859.543
1306,62572.695
1307,62343.75
1308,61426.117
1309,61245.52
1310,62339.707
1311,64296.656
1312,66022.68
1313,67111.04
1314,67492.03
1315,67530.67
1316,67203.3
1317,66011.77
1318,63988.27
1319,61905.02
1320,60014.574
1321,57690.793
1322,55640.367
1323,54172.43
1324,53540.594
1325,53655.4
1326,54587.195
1327,56472.8
1328,59359.53
1329,62289.164
1330,63440.043
1331,62975.51
1332,62413.57
1333,62658.793
1334,63857.49
1335,65375.188
1336,66587.95
1337,67458.12
1338,67978.02
1339,68219.27
1340,68074.914
1341,66933.12
1342,64764.992
1343,62256.9
1344,60099.633
1345,56826.18
1346,55307.883
1347,54306.656
1348,53376.03
1349,52701.117
1350,52351.18
1351,52323.027
1352,52470.062
1353,52467.363
1354,52331.742
1355,52189.477
1356,52073.035
1357,51758.91
